F7,FP1,FP2,F8,F3,FZ,F4,C3,Cz,P8,P7,Pz,P4,T7,P3,O1,O2,C4,T8,Speed
1.9411,3.2559,3.0224,2.4488,1.9,2.3432,2.1824,2.3388,2.5292,2.4378,2.2963,2.4718,2.4219,2.3391,2.6375,2.305,2.1201,2.0119,2.1732,92.727
1.9642,3.4245,3.3014,2.3331,1.8697,2.2128,2.2327,2.4018,2.4907,2.3783,2.1964,2.4769,2.5481,2.2104,2.5241,2.2512,2.0616,2.4072,1.9343,96.509
2.0422,4.4009,4.4152,2.1167,2.1997,2.5228,2.168,2.5013,2.5255,2.6979,2.3901,2.6838,2.8996,2.0193,2.7296,2.7389,2.7998,2.0825,2.048,95.782
1.8445,4.9372,4.6111,2.1556,2.2353,2.6034,2.2455,2.3783,2.7561,2.5407,2.3652,2.8819,2.7428,1.7398,2.5665,2.8323,2.577,2.2477,2.0773,95.303
1.7874,4.4612,4.2644,2.1348,1.9829,2.4091,2.0936,2.3184,2.66,2.523,2.1121,2.8212,2.6753,1.7803,2.5578,2.6173,2.6216,2.2442,1.9596,96.727
2.5494,5.6836,3.4772,2.7242,2.2972,2.5598,2.7753,1.895,2.6412,2.4284,2.3503,2.9578,2.3566,1.6681,2.7308,2.4152,2.5503,2.369,2.2419,87.42
2.7513,4.8218,3.9172,2.7037,2.6138,2.9689,3.1249,2.4368,2.9539,2.6941,2.5682,3.021,2.6277,1.8204,2.6154,2.5097,2.6349,2.495,2.5916,93.422
3.0023,3.9363,3.9519,3.0006,3.0529,3.306,3.1641,2.8382,3.2822,3.1392,2.7759,3.3732,3.1523,2.3013,2.5931,3.0605,3.0837,3.0245,2.9978,81.855
2.6662,4.008,3.8926,2.4137,2.7805,3.192,3.0635,2.6364,3.0945,2.8411,2.4594,3.1362,2.9386,2.0097,2.3901,2.7841,2.8171,2.6747,2.6784,76.578
2.6435,3.9359,4.0153,2.4918,2.777,3.3075,2.895,2.5882,3.1162,2.7778,2.4955,3.0547,2.8039,1.9585,2.1953,2.9584,2.7716,2.6583,2.7312,69.133
4.0765,5.3876,5.4604,3.3263,3.5597,3.2367,3.4102,3.2627,3.6618,3.6198,3.5187,3.3565,4.0964,2.6889,3.7312,3.23,3.3481,3.7334,3.4944,92.444
3.5039,3.969,4.4431,3.3439,3.3425,3.215,3.0139,3.1908,3.2882,3.4428,3.2136,3.1058,3.542,2.4411,3.413,3.3856,3.1553,3.0161,3.42,82.544
3.4703,3.4488,4.1284,3.0505,3.1728,3.0717,3.3365,3.1796,3.406,3.222,3.3692,2.9567,3.3386,2.6625,3.2863,3.2659,3.1746,3.4179,3.4329,85.484
3.775,3.5327,4.0427,3.5448,3.5196,3.3616,3.6069,3.5079,3.718,3.4257,3.5901,3.4629,3.5194,2.8695,3.4725,3.4238,3.5639,3.5778,3.6304,81.484
3.7652,3.8717,3.837,3.798,3.7533,3.563,3.688,3.5091,3.7387,3.4972,3.731,3.6988,3.6255,3.0377,3.6317,3.6679,3.588,3.6417,3.7757,81.343
2.3313,2.7801,2.7267,2.2025,2.3468,2.5111,2.478,1.7501,2.0905,2.2423,2.2285,3.6887,2.1929,3.3036,2.1562,2.16,2.1593,1.6034,2.4259,63.043
2.2461,2.5696,2.6215,2.1748,2.1732,2.1769,2.081,1.7497,1.771,2.0525,2.1719,2.9831,1.9187,3.1086,1.9122,1.9767,1.958,1.5282,2.5183,78.333
2.1604,2.3628,2.4129,2.1681,2.108,2.0018,2.076,1.7355,1.5723,1.8797,2.0068,2.6834,1.6866,3.4055,1.7983,1.818,1.7265,1.4605,2.6994,76.304
2.2258,2.1958,2.2528,2.0618,2.0395,2.0716,2.1271,1.5252,1.6857,1.9636,1.8917,3.1501,1.7039,3.2401,1.668,1.7704,1.7613,1.5038,2.8794,69.855
3.2874,2.6027,2.4961,2.3062,2.3736,2.1463,1.8325,1.8063,1.8215,2.2411,2.0407,3.4766,1.8212,3.6286,1.9512,1.8093,1.7686,1.5642,3.115,54.13
2.3045,2.7625,2.7518,2.7854,2.4958,2.5548,2.3217,1.7241,1.8953,2.1878,2.134,2.1772,2.0356,2.5451,1.7924,2.3739,2.4402,1.7542,2.5341,90.199
2.6656,4.0353,4.2071,3.007,2.4851,2.4766,2.4034,1.8907,1.8174,2.2725,2.4588,2.7309,2.2968,2.5548,2.0564,2.621,2.4208,1.9353,2.7499,86.526
2.6742,3.1491,3.236,3.0236,2.623,2.6508,2.5322,1.7655,1.8887,2.3247,2.2904,2.9059,2.1997,2.7161,1.9068,2.7127,2.5892,1.7525,2.7098,90.536
2.512,3.4537,3.5167,2.942,2.4704,2.6784,2.3634,1.7397,2.0834,2.4364,2.4507,2.3043,2.1911,2.5045,2.0573,2.7407,2.5069,2.0107,2.7233,88.256
2.6124,2.5725,2.9339,2.9847,2.389,2.4831,2.5,1.7203,1.8451,2.2006,2.3023,2.4545,2.1057,2.5611,1.7621,2.4675,2.5031,1.9366,2.206,82.439
